         12x6.dat                          06/07/13                                                 
                                                                                                    
                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                              
                                                                                                    
         DEFINITIONS:                                                                               
         J=V/nD (advance ratio)                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                     
         Pe=Ct*J/Cp (efficiency)                                                                    
         V  (model speed in MPH)                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       1000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        44.7        0.49      0.6456      0.0339      0.0258       0.265       2.086       1.435    
        47.2        0.52      0.6658      0.0311      0.0243       0.249       1.959       1.316    
        49.7        0.55      0.6831      0.0283      0.0226       0.232       1.825       1.195    
        52.1        0.57      0.6966      0.0254      0.0209       0.214       1.685       1.072    
        54.6        0.60      0.7049      0.0224      0.0191       0.195       1.540       0.946    
        57.1        0.63      0.7062      0.0193      0.0172       0.176       1.388       0.817    
        59.6        0.66      0.6978      0.0162      0.0153       0.156       1.232       0.687    
        62.1        0.68      0.6756      0.0131      0.0132       0.135       1.066       0.552    
        64.5        0.71      0.6312      0.0098      0.0111       0.114       0.894       0.416    
        67.0        0.74      0.5442      0.0066      0.0089       0.091       0.718       0.278    
        69.5        0.76      0.3680      0.0032      0.0067       0.069       0.540       0.136    
        72.0        0.79     -0.0312     -0.0002      0.0047       0.048       0.376      -0.008    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       9000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1057      0.0648       0.946       6.622       5.653    
         2.8        0.03      0.0444      0.0977      0.0599       0.875       6.124       5.229    
         5.6        0.05      0.0888      0.0900      0.0552       0.806       5.643       4.814    
         8.4        0.08      0.1329      0.0824      0.0507       0.739       5.178       4.409    
        11.1        0.11      0.1767      0.0750      0.0463       0.675       4.729       4.015    
        13.9        0.14      0.2199      0.0679      0.0420       0.613       4.295       3.631    
        16.7        0.16      0.2624      0.0635      0.0396       0.577       4.043       3.400    
        19.5        0.19      0.3040      0.0614      0.0385       0.562       3.937       3.287    
        22.3        0.22      0.3440      0.0592      0.0375       0.547       3.831       3.167    
        25.1        0.25      0.3821      0.0569      0.0365       0.533       3.729       3.043    
        27.9        0.27      0.4181      0.0546      0.0356       0.519       3.634       2.920    
        30.6        0.30      0.4527      0.0522      0.0346       0.504       3.533       2.794    
        33.4        0.33      0.4859      0.0498      0.0335       0.489       3.425       2.666    
        36.2        0.35      0.5176      0.0474      0.0324       0.473       3.311       2.534    
        39.0        0.38      0.5478      0.0448      0.0312       0.456       3.190       2.399    
        41.8        0.41      0.5764      0.0423      0.0300       0.437       3.062       2.262    
        44.6        0.44      0.6034      0.0396      0.0286       0.418       2.925       2.121    
        47.4        0.46      0.6286      0.0369      0.0272       0.397       2.780       1.976    
        50.1        0.49      0.6519      0.0342      0.0257       0.375       2.627       1.829    
        52.9        0.52      0.6730      0.0314      0.0241       0.352       2.465       1.678    
        55.7        0.54      0.6913      0.0285      0.0225       0.328       2.295       1.525    
        58.5        0.57      0.7058      0.0256      0.0207       0.302       2.117       1.368    
        61.3        0.60      0.7152      0.0226      0.0189       0.276       1.932       1.207    
        64.1        0.63      0.7177      0.0195      0.0170       0.249       1.741       1.044    
        66.9        0.65      0.7106      0.0164      0.0151       0.220       1.543       0.878    
        69.6        0.68      0.6903      0.0133      0.0131       0.191       1.336       0.709    
        72.4        0.71      0.6491      0.0100      0.0109       0.160       1.118       0.537    
        75.2        0.74      0.5661      0.0067      0.0088       0.128       0.895       0.361    
        78.0        0.76      0.3947      0.0034      0.0066       0.096       0.670       0.182    
        80.8        0.79     -0.0025      0.0000      0.0045       0.066       0.462      -0.001    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      10000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1068      0.0667       1.335       8.412       7.053    
         3.1        0.03      0.0438      0.0987      0.0614       1.230       7.751       6.521    
         6.2        0.05      0.0877      0.0909      0.0564       1.129       7.118       6.001    
         9.3        0.08      0.1318      0.0832      0.0516       1.033       6.509       5.493    
        12.4        0.11      0.1756      0.0757      0.0470       0.940       5.925       4.999    
        15.5        0.14      0.2192      0.0684      0.0425       0.851       5.364       4.519    
        18.6        0.16      0.2622      0.0640      0.0399       0.799       5.036       4.229    
        21.7        0.19      0.3044      0.0619      0.0388       0.776       4.889       4.086    
        24.8        0.22      0.3450      0.0596      0.0376       0.753       4.748       3.934    
        27.9        0.25      0.3836      0.0572      0.0366       0.732       4.616       3.781    
        31.0        0.27      0.4199      0.0549      0.0356       0.713       4.495       3.627    
        34.1        0.30      0.4549      0.0525      0.0346       0.693       4.367       3.471    
        37.2        0.33      0.4885      0.0501      0.0335       0.671       4.232       3.311    
        40.2        0.35      0.5208      0.0476      0.0324       0.649       4.088       3.147    
        43.3        0.38      0.5515      0.0451      0.0312       0.624       3.936       2.980    
        46.4        0.41      0.5807      0.0425      0.0299       0.599       3.775       2.808    
        49.5        0.44      0.6084      0.0399      0.0286       0.572       3.603       2.633    
        52.6        0.46      0.6343      0.0371      0.0271       0.543       3.421       2.453    
        55.7        0.49      0.6584      0.0344      0.0256       0.512       3.229       2.270    
        58.8        0.52      0.6803      0.0315      0.0240       0.481       3.028       2.084    
        61.9        0.54      0.6995      0.0287      0.0223       0.447       2.816       1.893    
        65.0        0.57      0.7149      0.0257      0.0206       0.412       2.594       1.697    
        68.1        0.60      0.7252      0.0227      0.0187       0.375       2.365       1.499    
        71.2        0.63      0.7287      0.0196      0.0169       0.338       2.130       1.297    
        74.3        0.65      0.7225      0.0165      0.0149       0.299       1.886       1.091    
        77.4        0.68      0.7035      0.0133      0.0129       0.259       1.630       0.882    
        80.5        0.71      0.6639      0.0101      0.0108       0.216       1.359       0.667    
        83.6        0.74      0.5821      0.0068      0.0086       0.172       1.082       0.448    
        86.7        0.76      0.4095      0.0034      0.0064       0.127       0.803       0.226    
        89.8        0.79     -0.0027      0.0000      0.0043       0.087       0.547      -0.001    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      11000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1080      0.0686       1.828      10.474       8.629    
         3.4        0.03      0.0431      0.0998      0.0630       1.679       9.622       7.977    
         6.8        0.05      0.0866      0.0918      0.0577       1.537       8.808       7.339    
        10.2        0.08      0.1303      0.0840      0.0526       1.402       8.031       6.716    
        13.6        0.11      0.1742      0.0764      0.0478       1.272       7.290       6.110    
        17.0        0.14      0.2179      0.0691      0.0431       1.149       6.582       5.521    
        20.4        0.16      0.2612      0.0646      0.0403       1.075       6.158       5.161    
        23.8        0.19      0.3039      0.0624      0.0391       1.041       5.963       4.984    
        27.2        0.22      0.3450      0.0600      0.0379       1.009       5.779       4.798    
        30.6        0.24      0.3841      0.0577      0.0368       0.979       5.610       4.609    
        34.0        0.27      0.4207      0.0553      0.0358       0.953       5.461       4.422    
        37.4        0.30      0.4560      0.0529      0.0347       0.925       5.303       4.231    
        40.8        0.33      0.4900      0.0505      0.0336       0.896       5.135       4.036    
        44.2        0.35      0.5226      0.0480      0.0325       0.865       4.958       3.837    
        47.6        0.38      0.5538      0.0455      0.0313       0.833       4.771       3.633    
        51.0        0.41      0.5835      0.0429      0.0300       0.798       4.574       3.425    
        54.4        0.44      0.6117      0.0402      0.0286       0.762       4.364       3.211    
        57.8        0.46      0.6382      0.0375      0.0271       0.723       4.143       2.994    
        61.2        0.49      0.6628      0.0347      0.0256       0.682       3.910       2.771    
        64.6        0.52      0.6853      0.0318      0.0240       0.640       3.665       2.544    
        68.0        0.54      0.7051      0.0289      0.0223       0.595       3.407       2.312    
        71.4        0.57      0.7212      0.0260      0.0206       0.548       3.139       2.075    
        74.8        0.60      0.7325      0.0229      0.0187       0.499       2.861       1.834    
        78.2        0.63      0.7366      0.0198      0.0168       0.449       2.572       1.586    
        81.6        0.65      0.7311      0.0167      0.0149       0.397       2.277       1.335    
        85.0        0.68      0.7136      0.0135      0.0129       0.343       1.963       1.078    
        88.4        0.71      0.6753      0.0102      0.0107       0.285       1.632       0.816    
        91.8        0.73      0.5942      0.0069      0.0085       0.226       1.293       0.548    
